name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
Fully Furnished Spacious Home for 7 People,Staten Island,Randall Manor,40.6311,-74.12816,Entire home/apt,149,2,3,0.34,5,354
Classy Modern 2 Beds for 2 People-Staten Island NY,Staten Island,Randall Manor,40.63118,-74.12866,Private room,55,2,4,0.2,5,355
"Private Loft-style Bedroom & En-suite in S.I., NY",Staten Island,Randall Manor,40.63135,-74.13023,Private room,79,2,21,0.64,5,355
RELAX & UNWIND - Classy Unique HOUSE for 9 People,Staten Island,Randall Manor,40.62967,-74.1285,Entire home/apt,135,2,21,0.88,5,354
Classy Antique Private Bedroom 20-minutes to Ferry,Staten Island,Randall Manor,40.62947,-74.12991,Private room,79,2,4,0.3,5,355
The Traveler's Suite,Brooklyn,Greenpoint,40.73301,-73.95835,Entire home/apt,100,2,176,6.02,1,14
Entire sunny 2-floor loft in East Williamsburg,Brooklyn,Williamsburg,40.70984,-73.9433,Entire home/apt,175,2,4,0.45,1,27
Cozy Clinton Hill Crib On Classon,Brooklyn,Bedford-Stuyvesant,40.68258,-73.95871,Entire home/apt,60,29,2,0.06,1,221
"Beautiful, rustic 1BD in HEART of Willlamsburg!",Brooklyn,Williamsburg,40.71232,-73.96067,Entire home/apt,88,4,6,0.24,1,1
Sunny Spacious Retro 1 Bedroom,Brooklyn,Bedford-Stuyvesant,40.69143,-73.93933,Entire home/apt,96,2,14,4.62,1,50
Stylish and Spacious with Convenient location,Manhattan,Harlem,40.82148,-73.9366,Private room,69,1,67,3.47,2,28
"Stylish, convenient, renovated- 2 min to subway -",Manhattan,Harlem,40.82195,-73.9368,Entire home/apt,250,1,36,4.62,2,301
Private Room in Park Slope Loft/Townhouse,Brooklyn,Park Slope,40.67872,-73.9792,Private room,88,3,8,0.33,1,0
2 Bedroom/2 Bath Luxury Apartment With Terrace,Brooklyn,Bedford-Stuyvesant,40.68457,-73.9262,Entire home/apt,120,2,5,0.13,2,0
Private Room and Bathroom in Bright Apartment,Brooklyn,Bedford-Stuyvesant,40.68466,-73.92727,Private room,50,2,4,0.11,2,0
Modern Apt in Townhouse in Williamsburg prime!,Brooklyn,Williamsburg,40.71286,-73.96084,Entire home/apt,200,5,31,1.39,2,291
Modern Mid-Century Townhouse in Williamsburg!,Brooklyn,Williamsburg,40.71352,-73.96148,Entire home/apt,800,30,29,1.41,2,0
Architecturally Stunning Former Synagogue!,Manhattan,East Village,40.72668,-73.98179,Entire home/apt,2500,30,15,0.26,1,89
West Village Studio,Manhattan,West Village,40.73733,-74.00392,Entire home/apt,119,3,1,0.03,1,0
Newly Renovated 1 BD w/ AC & Netflix in Queens (2),Queens,East Elmhurst,40.75755,-73.88199,Private room,50,1,3,3.0,3,359
Luxury 1 BD Full Bed w/ AC & Netflix in Queens (3),Queens,East Elmhurst,40.75815,-73.88323,Private room,55,1,2,2.0,3,358
Relax comfortably 1BR w/AC in the Heart of Queens1,Queens,East Elmhurst,40.75938,-73.88219,Private room,70,1,8,8.0,3,342
Beautifu large studio in the heart  of Manhattan,Manhattan,Midtown,40.75797,-73.97004,Entire home/apt,150,7,29,0.86,1,31
A birdcage on the Upper West Side,Manhattan,Upper West Side,40.79641,-73.97088,Entire home/apt,75,3,5,0.28,1,0
Comfy Private Room Near Central Park in UWS,Manhattan,Upper West Side,40.79872,-73.96173,Private room,70,1,1,0.04,2,0
"Cute Clean &  Quaint , 40 minutes away from. City",Brooklyn,Bushwick,40.69855,-73.91394,Private room,63,3,2,0.31,1,365
